ID,Name,Country,League
p171877,Hamšík,Slovakia,Hero
p170890,Matuidi,France,Hero
p168880,Noor,Saudi Arabia,Hero
p16254,Howard,United States,Hero
p5740,Stam,Netherlands,Hero
p275243,Hamm,United States,Icon
p275276,Prinz,Germany,Icon
p226293,Angerer,Germany,Icon
p227006,Sawa,Japan,Icon
p227324,Abily,France,Icon
p226369,Schelin,Sweden,Icon
p227002,Miyama,Japan,Icon
p71608,Foudy,United States,Icon
p227263,Smith,England,Icon
p226306,Sasic,Germany,Hero
p226373,Kessler,Germany,Hero
p71587,Pichon,France,Icon
p227315,Georges,France,Hero
p275092,Bompastor,France,Hero
p227271,Williams,England,Hero
p227261,Scott,England,Hero
p168473,Beckenbauer,Germany,Icon
p237073,Maradona,Argentina,Icon
p170733,Gervinho,Côte d'Ivoire,Hero
p188428,Doumbia,Côte d'Ivoire,Hero
p204550,Ibarbo,Colombia,Hero
p190042,Maradona,Argentina,Icon
p182521,Kroos,Germany,Icon
p41,Iniesta,Spain,Icon
p138956,Chiellini,Italy,Icon
p1238,Totti,Italy,Icon
p8348,Salgado,Spain,Hero
p53302,de Rossi,Italy,Hero
p20775,Quaresma,Portugal,Hero
p488,Kahn,Germany,Icon
p10959,Aimar,Argentina,Hero
p138123,Cambiasso,Argentina,Hero
p21146,Carrick,England,Hero
p137186,Barzagli,Italy,Hero
p176944,Fellaini,Belgium,Hero
p181783,Mandžukić,Croatia,Hero
p162895,Fabregas,Spain,Hero
p13940,Koller,Czech Republic,Hero
p47390,Gilberto Silva,Brazil,Hero
p215732,Bierhoff,Germany,Icon
p192190,Dunga,Brazil,Icon
p191208,Cha Bum-Kun,Korea Republic,Icon
